ANO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC
1939,2.500 ,4.240 ,4.930 ,2.510 ,1.010 ,0.990 ,0.940 ,0.930 ,0.940 ,0.940 ,0.940 ,0.940 
1940,1.070 ,1.050 ,0.900 ,0.960 ,0.960 ,0.960 ,0.960 ,0.960 ,0.960 ,0.960 ,0.960 ,0.960 
1941,1.080 ,1.070 ,1.070 ,0.910 ,0.860 ,0.900 ,0.900 ,0.900 ,0.900 ,0.900 ,0.870 ,0.940 
1942,2.360 ,1.620 ,1.190 ,1.110 ,0.960 ,0.970 ,0.990 ,1.030 ,0.980 ,0.920 ,0.870 ,1.020 
1943,1.340 ,12.560 ,8.420 ,1.190 ,0.840 ,1.100 ,1.060 ,1.020 ,0.990 ,0.990 ,0.970 ,0.910 
1944,0.980 ,17.260 ,2.000 ,0.880 ,0.800 ,0.810 ,0.770 ,0.750 ,0.750 ,0.690 ,0.670 ,0.680 
1945,0.980 ,0.960 ,1.590 ,1.190 ,0.870 ,0.760 ,0.680 ,0.670 ,0.760 ,0.760 ,0.710 ,0.630 
1946,1.120 ,4.660 ,0.820 ,0.830 ,0.810 ,0.830 ,0.380 ,0.630 ,0.606 ,0.530 ,0.670 ,1.170 
1947,4.510 ,0.680 ,0.570 ,0.620 ,0.630 ,0.620 ,0.620 ,0.610 ,0.610 ,0.450 ,0.460 ,0.690 
1948,0.670 ,1.020 ,1.890 ,0.730 ,0.660 ,0.590 ,0.570 ,0.570 ,0.570 ,0.520 ,0.480 ,0.590 
1949,5.710 ,4.180 ,2.870 ,1.250 ,0.840 ,0.760 ,0.780 ,0.700 ,0.620 ,0.550 ,0.490 ,0.660 
1950,0.790 ,0.830 ,1.080 ,0.790 ,0.830 ,0.950 ,0.780 ,0.720 ,0.500 ,0.540 ,0.620 ,0.660 
1951,1.310 ,1.740 ,1.900 ,0.630 ,0.610 ,0.510 ,0.480 ,0.500 ,0.606 ,0.575 ,0.619 ,0.660 
1952,3.060 ,1.700 ,0.900 ,0.800 ,0.820 ,0.770 ,0.730 ,0.720 ,0.940 ,0.710 ,0.740 ,0.720 
1953,1.050 ,2.870 ,3.950 ,0.850 ,0.790 ,0.720 ,0.720 ,0.670 ,0.660 ,0.730 ,0.740 ,0.670 
1954,0.800 ,4.760 ,2.060 ,1.120 ,1.040 ,0.920 ,0.840 ,0.830 ,0.770 ,0.700 ,0.820 ,0.850 
1955,2.040 ,2.090 ,2.330 ,0.960 ,1.000 ,0.840 ,0.840 ,0.780 ,0.760 ,0.670 ,0.660 ,0.780 
1956,0.780 ,0.950 ,0.790 ,0.670 ,0.720 ,0.650 ,0.640 ,0.640 ,0.610 ,0.610 ,0.610 ,0.660 
1957,0.690 ,0.800 ,0.890 ,0.480 ,0.670 ,0.740 ,0.690 ,0.630 ,0.720 ,0.710 ,0.680 ,0.990 
1958,1.310 ,0.930 ,1.370 ,0.620 ,0.640 ,0.640 ,0.630 ,0.610 ,0.620 ,0.610 ,0.660 ,0.620 
1959,0.711 ,0.621 ,1.150 ,0.794 ,0.624 ,0.619 ,0.628 ,0.600 ,0.603 ,0.596 ,0.608 ,0.675 
1960,1.595 ,1.155 ,0.731 ,0.726 ,0.677 ,0.602 ,0.607 ,0.614 ,0.610 ,0.607 ,0.612 ,0.695 
1961,1.544 ,2.130 ,1.043 ,0.649 ,0.644 ,0.643 ,0.568 ,0.530 ,0.545 ,0.508 ,0.526 ,0.724 
1962,1.041 ,1.286 ,0.753 ,0.761 ,0.527 ,0.498 ,0.676 ,0.496 ,0.549 ,0.523 ,0.557 ,0.583 
1963,0.772 ,1.833 ,2.069 ,0.762 ,0.624 ,0.593 ,0.563 ,0.593 ,0.635 ,0.581 ,0.593 ,0.619 
1964,0.560 ,0.843 ,1.047 ,0.956 ,0.804 ,0.793 ,0.831 ,0.728 ,0.648 ,0.658 ,0.657 ,0.559 
1965,0.607 ,1.011 ,0.683 ,0.584 ,0.685 ,0.644 ,0.615 ,0.622 ,0.660 ,0.621 ,0.591 ,0.598 
1966,0.539 ,0.724 ,0.701 ,0.838 ,0.545 ,0.526 ,0.500 ,0.543 ,0.534 ,0.535 ,0.543 ,0.519 
1967,0.490 ,0.753 ,1.015 ,0.531 ,0.495 ,0.693 ,0.649 ,0.789 ,0.719 ,0.705 ,0.679 ,0.685 
1968,0.933 ,1.555 ,1.665 ,0.990 ,0.962 ,0.945 ,0.787 ,0.542 ,0.617 ,0.554 ,0.635 ,0.642 
1969,1.830 ,3.728 ,1.378 ,0.760 ,0.698 ,0.767 ,0.777 ,0.751 ,0.607 ,0.588 ,0.555 ,0.608 
1970,0.747 ,0.818 ,0.711 ,0.561 ,0.525 ,0.523 ,0.548 ,0.556 ,0.556 ,0.570 ,0.560 ,0.568 
1971,0.769 ,1.598 ,0.872 ,0.554 ,0.540 ,0.564 ,0.545 ,0.510 ,0.524 ,0.440 ,0.441 ,0.472 
1972,1.069 ,1.020 ,1.024 ,0.986 ,0.677 ,0.584 ,0.574 ,0.567 ,0.561 ,0.541 ,0.601 ,0.613 
1973,1.358 ,2.714 ,2.304 ,0.904 ,0.756 ,0.694 ,0.688 ,0.657 ,0.576 ,0.559 ,0.501 ,0.509 
1974,1.481 ,1.266 ,1.262 ,0.776 ,0.716 ,0.734 ,0.664 ,0.736 ,0.697 ,0.585 ,0.614 ,0.555 
1975,1.303 ,2.440 ,2.879 ,1.016 ,0.822 ,0.728 ,0.724 ,0.641 ,0.615 ,0.613 ,0.593 ,0.910 
1976,1.720 ,3.262 ,2.284 ,0.970 ,0.814 ,0.754 ,0.708 ,0.706 ,0.735 ,0.665 ,0.618 ,0.653 
1977,1.137 ,2.677 ,3.888 ,0.987 ,0.878 ,0.818 ,0.757 ,0.756 ,0.669 ,0.635 ,0.598 ,0.613 
1978,0.971 ,1.153 ,0.694 ,0.671 ,0.635 ,0.668 ,0.615 ,0.594 ,0.569 ,0.543 ,0.544 ,0.529 
1979,0.688 ,0.562 ,1.186 ,0.673 ,0.614 ,0.630 ,0.628 ,0.588 ,0.567 ,0.533 ,0.486 ,0.566 
1980,0.573 ,0.533 ,0.798 ,0.584 ,0.556 ,0.550 ,0.560 ,0.529 ,0.486 ,0.515 ,0.462 ,0.444 
1981,0.563 ,1.336 ,1.097 ,0.709 ,0.602 ,0.593 ,0.573 ,0.556 ,0.542 ,0.488 ,0.461 ,0.488 
1982,0.624 ,0.721 ,0.646 ,0.557 ,0.547 ,0.590 ,0.539 ,0.501 ,0.505 ,0.498 ,0.476 ,0.514 
1983,0.424 ,0.376 ,0.440 ,0.440 ,0.475 ,0.476 ,0.494 ,0.445 ,0.464 ,0.432 ,0.389 ,0.407 
1984,0.815 ,1.887 ,1.490 ,0.777 ,0.573 ,0.585 ,0.578 ,0.545 ,0.444 ,0.512 ,0.612 ,0.544 
1985,0.568 ,4.174 ,2.134 ,1.069 ,0.707 ,0.640 ,0.624 ,0.566 ,0.529 ,0.497 ,0.553 ,0.624 
1986,1.684 ,2.854 ,1.723 ,1.032 ,0.801 ,0.742 ,0.702 ,0.680 ,0.598 ,0.549 ,0.548 ,0.626 
1987,2.325 ,1.241 ,0.789 ,0.679 ,0.680 ,0.671 ,0.750 ,0.641 ,0.574 ,0.560 ,0.523 ,0.501 
1988,0.895 ,0.943 ,1.053 ,0.885 ,0.674 ,0.644 ,0.640 ,0.602 ,0.544 ,0.496 ,0.433 ,0.496 
1989,0.623 ,3.841 ,0.932 ,0.832 ,0.698 ,0.619 ,0.594 ,0.507 ,0.523 ,0.488 ,0.451 ,0.402 
1990,0.459 ,0.486 ,0.541 ,0.468 ,0.497 ,0.534 ,0.512 ,0.486 ,0.431 ,0.400 ,0.415 ,0.676 
1991,1.133 ,0.816 ,1.258 ,0.784 ,0.659 ,0.693 ,0.636 ,0.592 ,0.491 ,0.432 ,0.418 ,0.405 
1992,0.467 ,0.367 ,0.355 ,0.395 ,0.433 ,0.492 ,0.504 ,0.454 ,0.386 ,0.360 ,0.368 ,0.443 
1993,1.363 ,0.708 ,0.973 ,0.565 ,0.474 ,0.458 ,0.464 ,0.496 ,0.393 ,0.391 ,0.370 ,0.456 
1994,1.132 ,2.220 ,0.740 ,0.608 ,0.515 ,0.542 ,0.482 ,0.461 ,0.417 ,0.408 ,0.380 ,0.474 
1995,0.521 ,0.401 ,1.585 ,0.548 ,0.509 ,0.483 ,0.434 ,0.415 ,0.390 ,0.355 ,0.330 ,0.346 
1996,0.701 ,1.058 ,0.671 ,0.528 ,0.448 ,0.374 ,0.447 ,0.404 ,0.384 ,0.339 ,0.349 ,0.346 
1997,1.497 ,4.715 ,0.502 ,0.807 ,0.563 ,0.553 ,0.544 ,0.555 ,0.499 ,0.433 ,0.407 ,0.420 
1998,3.859 ,5.110 ,0.608 ,0.469 ,0.459 ,0.475 ,0.470 ,0.451 ,0.376 ,0.379 ,3.820 ,0.402 
1999,0.456 ,3.446 ,4.106 ,2.036 ,0.818 ,0.633 ,0.599 ,0.520 ,0.465 ,0.475 ,0.456 ,0.466 
2000,1.776 ,3.208 ,3.029 ,1.098 ,0.774 ,0.737 ,0.695 ,0.604 ,0.543 ,0.511 ,0.503 ,0.496 
2001,2.117 ,9.171 ,6.538 ,1.630 ,1.001 ,0.975 ,1.103 ,1.082 ,0.908 ,0.805 ,0.834 ,0.789 
2002,0.736 ,1.715 ,2.060 ,1.240 ,0.953 ,0.884 ,0.954 ,0.815 ,0.717 ,0.707 ,0.674 ,0.656 
2003,0.667 ,0.679 ,0.842 ,0.725 ,0.657 ,0.645 ,0.645 ,0.608 ,0.560 ,0.514 ,0.486 ,0.477 
2004,0.675 ,1.107 ,0.631 ,0.557 ,0.548 ,0.559 ,0.592 ,0.537 ,0.489 ,0.461 ,0.452 ,0.454 
2005,0.678 ,1.163 ,0.864 ,0.629 ,0.568 ,0.578 ,0.589 ,0.544 ,0.601 ,0.467 ,0.417 ,0.466 
2006,0.845 ,1.806 ,2.020 ,1.411 ,0.766 ,0.715 ,0.657 ,0.609 ,0.591 ,0.595 ,0.529 ,0.503 
2007,0.776 ,0.945 ,1.284 ,0.692 ,0.590 ,0.579 ,0.588 ,0.557 ,0.515 ,0.474 ,0.445 ,0.488 
2008,1.652 ,0.766 ,0.792 ,0.625 ,0.594 ,0.607 ,0.580 ,0.536 ,0.504 ,0.476 ,0.425 ,0.477 
2009,0.625 ,1.169 ,1.313 ,0.597 ,0.540 ,0.533 ,0.534 ,0.498 ,0.606 ,0.575 ,0.619 ,0.614 
